1100003, 20180314 16:00:00,  AAPL  190118C00080000@SMART Trades
1100004, 20180313 16:00:00,  AAPL  190118C00080000@SMART Trades
1100006, 20180309 16:00:00,  AAPL  190118C00080000@SMART Trades
1100007, 20180308 16:00:00,  AAPL  190118C00080000@SMART Trades
1100009, 20180306 16:00:00,  AAPL  190118C00080000@SMART Trades
1100010, 20180305 16:00:00,  AAPL  190118C00080000@SMART Trades
1100013, 20180228 16:00:00,  AAPL  190118C00080000@SMART Trades
1100015, 20180226 16:00:00,  AAPL  190118C00080000@SMART Trades
1100016, 20180223 16:00:00,  AAPL  190118C00080000@SMART Trades
1100018, 20180221 16:00:00,  AAPL  190118C00080000@SMART Trades
1100020, 20180219 16:00:00,  AAPL  190118C00080000@SMART Trades
1100021, 20180216 16:00:00,  AAPL  190118C00080000@SMART Trades
1100022, 20180215 16:00:00,  AAPL  190118C00080000@SMART Trades
1100024, 20180213 16:00:00,  AAPL  190118C00080000@SMART Trades
1100025, 20180212 16:00:00,  AAPL  190118C00080000@SMART Trades
1100035, 20180129 16:00:00,  AAPL  190118C00080000@SMART Trades
1100038, 20180124 16:00:00,  AAPL  190118C00080000@SMART Trades
1100039, 20180123 16:00:00,  AAPL  190118C00080000@SMART Trades
1100041, 20180119 16:00:00,  AAPL  190118C00080000@SMART Trades
1100043, 20180117 16:00:00,  AAPL  190118C00080000@SMART Trades
1100044, 20180116 16:00:00,  AAPL  190118C00080000@SMART Trades
1100045, 20180115 16:00:00,  AAPL  190118C00080000@SMART Trades
1100046, 20180112 16:00:00,  AAPL  190118C00080000@SMART Trades
1100047, 20180111 16:00:00,  AAPL  190118C00080000@SMART Trades
1100048, 20180110 16:00:00,  AAPL  190118C00080000@SMART Trades
1100049, 20180109 16:00:00,  AAPL  190118C00080000@SMART Trades
1100054, 20180102 16:00:00,  AAPL  190118C00080000@SMART Trades
1100055, 20180101 16:00:00,  AAPL  190118C00080000@SMART Trades
1100056, 20171229 16:00:00,  AAPL  190118C00080000@SMART Trades
1100057, 20171228 16:00:00,  AAPL  190118C00080000@SMART Trades
1100058, 20171227 16:00:00,  AAPL  190118C00080000@SMART Trades
1100060, 20171225 16:00:00,  AAPL  190118C00080000@SMART Trades
1100061, 20171222 16:00:00,  AAPL  190118C00080000@SMART Trades
1100062, 20171221 16:00:00,  AAPL  190118C00080000@SMART Trades
1100063, 20171220 16:00:00,  AAPL  190118C00080000@SMART Trades
1100066, 20171215 16:00:00,  AAPL  190118C00080000@SMART Trades
1100067, 20171214 16:00:00,  AAPL  190118C00080000@SMART Trades
1100068, 20171213 16:00:00,  AAPL  190118C00080000@SMART Trades
1100069, 20171212 16:00:00,  AAPL  190118C00080000@SMART Trades
1100070, 20171211 16:00:00,  AAPL  190118C00080000@SMART Trades
1100071, 20171208 16:00:00,  AAPL  190118C00080000@SMART Trades
1100072, 20171207 16:00:00,  AAPL  190118C00080000@SMART Trades
1100073, 20171206 16:00:00,  AAPL  190118C00080000@SMART Trades
1100075, 20171204 16:00:00,  AAPL  190118C00080000@SMART Trades
1100076, 20171201 16:00:00,  AAPL  190118C00080000@SMART Trades
1100077, 20171130 16:00:00,  AAPL  190118C00080000@SMART Trades
1100078, 20171129 16:00:00,  AAPL  190118C00080000@SMART Trades
1200001, 20171124 16:00:00,  AAPL  190118C00085000@SMART Trades
1200002, 20180315 16:00:00,  AAPL  190118C00085000@SMART Trades
1200003, 20180314 16:00:00,  AAPL  190118C00085000@SMART Trades
1200004, 20180313 16:00:00,  AAPL  190118C00085000@SMART Trades
1200006, 20180309 16:00:00,  AAPL  190118C00085000@SMART Trades
1200007, 20180308 16:00:00,  AAPL  190118C00085000@SMART Trades
1200008, 20180307 16:00:00,  AAPL  190118C00085000@SMART Trades
1200009, 20180306 16:00:00,  AAPL  190118C00085000@SMART Trades
1200011, 20180302 16:00:00,  AAPL  190118C00085000@SMART Trades
1200012, 20180301 16:00:00,  AAPL  190118C00085000@SMART Trades
1200013, 20180228 16:00:00,  AAPL  190118C00085000@SMART Trades
1200014, 20180227 16:00:00,  AAPL  190118C00085000@SMART Trades
